Cost Center Id,Cost Center Standard List,Cost Center Group
7007-031,Accounting,Call Center Support
7071-111,Allocations Customer Care Mangement,Customer Care
7078-011,Auckland Fraud UnOps,Fraud
1070-011,CIERRE  CONTB./ TESORERIA,Call Center Services
7071-011,Customer Care Auckland,Customer Care
7071-141,Customer Care Belize,Customer Care
7071-071,Customer Care Costa Rica,Customer Care
7071-041,Customer Care Dom Rep. - Indirect,Customer Care
7075-011,Customer Care Dominican Rep.,Customer Care
7074-011,Customer Care Internal,IB Customer Care
7071-131,Customer Care Islas Vir - Indirect,Customer Care
7071-031,Customer Care Jamaica,Customer Care
7071-061,Customer Care Panama,Customer Care
7071-081,Customer Care Trinidad y Tob - Ind,Customer Care
7071-161,Customer Care USVI,Customer Care
1003-071,"Develop., Lead. & Training",HR Support
7073-017,Development (PEGA),Ops Updating Centre
7073-014,Employee Experience Technology,Ops Updating Centre
7076-011,FPLP Auckland,FPL
7076-013,FPLP Auckland (Cap. Expenses),FPL
7076-801,FPLP Malta,FPL
7076-807,FPLP Malta Integration,FPL
7077-071,FS Acc Payable Perth,Call Center Services
7077-011,FS Codes Payable,Call Center Services
7077-013,FS Ops&S Acct,Call Center Services
7077-017,FS Ops&S Acct - Indirect,Call Center Services
7073-013,GFT,Ops Updating Centre
7077-014,Global Insurance Finan Op,Call Center Services
7073-011,HR Services 1 - Indirect,HR Services
1004-031,Infraestructure,Infraestructure
7004-031,Infraestructure,Infraestructure
1070-131,Loyalty Bolivia - BCP,Loyalty
1070-137,Loyalty Bolivia - CrediScotia,Loyalty
1070-171,Loyalty Chicago - BCP,Loyalty
1070-177,Loyalty Chicago - Manhattan,Loyalty
1070-117,Loyalty Alaska - Primary,Loyalty
1070-071,Loyalty Costa R. - Prim Indire,Loyalty
1070-077,Loyalty Costa Rica - Primary,Loyalty
1070-041,Loyalty Dominican Rep. - BCP,Loyalty
1070-031,Loyalty Jamaica - BCP,Loyalty
7071-001,Mangement Customer Care Services,Customer Care
1070-001,Mangement Loyalty Service,Loyalty
7077-001,Mangement Financial Services,Call Center Services
7073-001,Mangement HR services,HR Services
1004-181,Compliance,Accounting
7004-181,Compliance,Accounting
7073-801,Ops Services Project,Ops Updating Centre
7004-141,F3 - Usaquen,Infraestructure
7077-801,Reverse Call Center Project,Call Center Services
1001-001,Company,Available Space
