Building,Floor,Room Name,Area (m2),,,,,,
Choachi,Floor 1,Choachi Lobby,65.3,,,,,,
Choachi,Floor 1,Choachi Sala 1,13.3,,,,,,
Choachi,Floor 1,Choachi Sala 3,6.2,,,,,,
Choachi,Floor 1,Choachi Sala 2,5.7,,,,,,
Choachi,Floor 2,Choachi Sala 8,23.35,,,,,,
Choachi,Floor 2,Choachi Sala 9,23.35,,,,,,
Choachi,Floor 2,Choachi Sala 5,21.23,,,,,,
Choachi,Floor 2,Choachi Sala 10,14.37,,,,,,
Choachi,Floor 2,Choachi Sala 6,13.97,,,,,,
Choachi,Floor 2,Choachi Sala 7,8.59,,,,,,
Choachi,Floor 3,Choachi Sala 13,23.3,,,,,,
Choachi,Floor 3,Choachi Sala 14,23.3,,,,,,
Choachi,Floor 3,Choachi Sala 11,21.2,,,,,,
Choachi,Floor 3,Choachi Sala 15,14.4,,,,,,
Choachi,Floor 3,Choachi Sala 12,8.6,,,,,,
Choachi,Floor 4,Choachi Sala 16,63.6,,,,,,
Choachi,Floor 4,Choachi Sala 20,44.6,,,,,,
Choachi,Floor 4,Choachi Sala 17,23.3,,,,,,
Choachi,Floor 4,Choachi Sala 18,23.3,,,,,,
Choachi,Floor 4,Choachi Sala 19,9.4,,,,,,
Choachi,Floor 5,Choachi Sala 24,23.3,,,,,,
Choachi,Floor 5,Choachi Sala 25,23.3,,,,,,
Choachi,Floor 5,Choachi Sala 21,21.2,,,,,,
Choachi,Floor 5,Choachi Sala 22,14.4,,,,,,
Choachi,Floor 5,Choachi Sala 26,9.4,,,,,,
Choachi,Floor 5,Choachi Sala 23,8.6,,,,,,
Salento,Floor 1,Salento Sala 1,113.0,,,,,,
Salento,Floor 1,Salento Sala 13,103.6,,,,,,
Salento,Floor 1,Salento Sala 7,68.0,,,,,,
Salento,Floor 1,Salento Sala 3,66.6,,,,,,
Salento,Floor 1,Salento Sala 6,66.8,,,,,,
Salento,Floor 1,Salento Sala 8,55.9,,,,,,
Salento,Floor 1,Salento Sala 2,49.9,,,,,,
Salento,Floor 1,Salento Sala 9,42.4,,,,,,
Salento,Floor 1,Salento Sala 5,37.9,,,,,,
Salento,Floor 1,Salento Sala 4,37.0,,,,,,
Salento,Floor 1,Salento Sala 10,16.8,,,,,,
Salento,Floor 1,Salento Sala 11,9.9,,,,,,
Salento,Floor 1,Salento Sala 12,6.3,,,,,,
Salento,Floor 2,Salento Sala 14,21.3,,,,,,
Salento,Floor 2,Salento Sala 15,15.8,,,,,,
Salento,Floor 3,Salento Sala 16,47.8,,,,,,
Salento,Floor 3,Salento Sala 17,15.8,,,,,,
Salento,Floor 4,Salento Sala 18,60.1,,,,,,
Salento,Floor 4,Salento Sala 19,16.0,,,,,,
Salento,Floor 4,Salento Sala 20,14.6,,,,,,
Salento,Floor 5,Salento Sala 21,60.1,,,,,,
Salento,Floor 5,Salento Sala 23,27.7,,,,,,
Salento,Floor 5,Salento Sala 22,14.6,,,,,,
Salento,Lobby,Salento Lobby,173.4,,,,,,
Usaquen,Floor 1,Usaquen Lobby,160.2,,,,,,
Usaquen,Floor 2,Usaquen Sala 1,14.37,,,,,,
Usaquen,Floor 3,Usaquen Sala 4,23.3,,,,,,
Usaquen,Floor 3,Usaquen Sala 5,23.3,,,,,,
Usaquen,Floor 3,Usaquen Sala 2,21.2,,,,,,
Usaquen,Floor 3,Usaquen Sala 6,14.4,,,,,,
Usaquen,Floor 3,Usaquen Sala 3,8.6,,,,,,
Usaquen,Floor 4,Usaquen Sala 7,63.6,,,,,,
Usaquen,Floor 4,Usaquen Sala 11,44.6,,,,,,
Usaquen,Floor 4,Usaquen Sala 8,23.3,,,,,,
Usaquen,Floor 4,Usaquen Sala 9,23.3,,,,,,
Usaquen,Floor 4,Usaquen Sala 10,9.4,,,,,,
Usaquen,Floor 5,Usaquen Sala 12,21.2,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
